unnamed__0,deal_num,acq_name,acq_country_code,tar_name,tar_country_code,deal_type,deal_status,deal_value,last_deal_status_date,deal_headline,deal_type__1,deal_status__1,deal_value__1,tar_name__1,tar_country_code__1,tar_busi_descr,tar_bvd_id_num,tar_orbis_id_num,acq_name__1,acq_country_code__1,acq_busi_descr,acq_bvd_id_num,acq_orbis_id_num,gr_acq_name,gr_acq_country_code,gr_acq_busi_descr,gr_acq_bvd_id_num,gr_acq_orbis_id_num,ven_name,ven_country_code,ven_busi_descr,ven_bvd_id_num,ven_orbis_id_num,gr_ven_name,gr_ven_country_code,gr_ven_busi_descr,gr_ven_bvd_id_num,gr_ven_orbis_id_num,regulatory_body_name,regulatory_body_country,type_of_deal_opportunity
1.0,63699.0,VODAFONE AIRTOUCH PLC,GB,MANNESMANN AG,DE,Acquisition 100% Bid 2 - Increased offer,Completed,195640540.488886,36707.0,Vodafone Airtouch plc has acquired Mannesmann AG,Acquisition 100% Bid 2 - Increased offer,Completed,195640540.488886,MANNESMANN AG,DE,Mobile telecommunications services,,,VODAFONE AIRTOUCH PLC,GB,Mobile telecommunications services,GB01833679,4148617.0,,,,,,,,,,,,,,,,,,
2.0,53593.0,VODAFONE AIRTOUCH PLC,GB,MANNESMANN AG,DE,Acquisition 100% Bid 1 - Withdrawn,Withdrawn,122784799.940056,36560.0,Vodafone Airtouch plc fails with initial bid for Mannesmann AG,Acquisition 100% Bid 1 - Withdrawn,Withdrawn,122784799.940056,MANNESMANN AG,DE,Mobile telecommunications services,,,VODAFONE AIRTOUCH PLC,GB,Mobile telecommunications services,GB01833679,4148617.0,,,,,,,,,,,,,,,,,,
3.0,1909123295.0,AT&T INC.,US,TIME WARNER INC.,US,Acquisition 100%,Completed,108700000.0,43264.0,AT&T completes acquisition of Time Warner,Acquisition 100%,Completed,108700000.0,TIME WARNER INC.,US,"Book publishing services, Cable television networks provider, Fillm and video distribution services, Fillm and video post production services, Film and video production services, Internet service provider and entertainment media services, Magazine publisher, Marketing services, Online media website operator, Television broadcasting services, Television programming services",US822449954,372521646.0,AT&T INC.,US,"Online telecommunication equipment retailer holding company, Wired telecommunications services holding company, Wireless telecommunications services holding company",US431301883,647735.0,,,,,,SHAREHOLDERS,,Shareholder,,,,,,,,Conselho Administrativo de Defesa Econômica (CADE),Brazil,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORVEX MANAGEMENT LP,US,Hedge fund manager,US374785673L,111822908.0,,,,,,Fiscalia Nacional Económica (FNE),Chile,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,European Commission,European Union,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comisión Federal de Competencia,Mexico,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instituto Federal de Telecomunicaciones,Mexico,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Department of Justice,United States,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal Communications Commission,United States,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal Trade Commission,United States,
4.0,140036.0,PFIZER INC.,US,WARNER-LAMBERT COMPANY,US,Acquisition 100%,Completed,90000000.0,36696.0,Pfizer buys Warner-Lambert,Acquisition 100%,Completed,90000000.0,WARNER-LAMBERT COMPANY,US,Pharmaceuticals manufacturer,US221598912,6533168.0,PFIZER INC.,US,"Biopharmaceuticals developer, Biopharmaceuticals manufacturer, Consumer healthcare products manufacturer, Infant food manufacturer, Pharmaceutical products manufacturer",US135315170,3136.0,,,,,,,,,,,,,,,,,,
5.0,45748.0,DEUTSCHE TELEKOM AG,DE,TELECOM ITALIA SPA (OLD),IT,Acquisition 100% - Withdrawn,Withdrawn,82835106.6677595,36268.0,Deutsche Telekom AG acquired 100% of Telecom Italia SpA (Old).,Acquisition 100% - Withdrawn,Withdrawn,82835106.6677595,TELECOM ITALIA SPA (OLD),IT,Telecommunications operator,IT00471850016,5351725.0,DEUTSCHE TELEKOM AG,DE,Telecommunications services,DE5030147137,60521683.0,,,,,,,,,,,,,,,,,,
6.0,1941013502.0,"WALT DISNEY COMPANY, THE",US,TWENTY-FIRST CENTURY FOX INC.,US,Acquisition 100% Withdrawn Bid 1,Withdrawn,77072000.0,43271.0,Walt Disney terminates initial offer for Twenty-First Century Fox,Acquisition 100% Withdrawn Bid 1,Withdrawn,77072000.0,TWENTY-FIRST CENTURY FOX INC.,US,"Book publisher, Cable television services, Film distribution services, Film production services, Magazine publisher, Media and entertainment services, Newspaper publisher, Television broadcasting services",US260075658,11640967.0,"WALT DISNEY COMPANY, THE",US,"Amusement parks operator, Motion picture and video producer, Radio broadcasting services, Television broadcasting services",US149206421L,384914288.0,,,,,,,,,,,,,,,,Department of Justice,United States,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal Trade Commission,United States,
7.0,104390.0,COMCAST CORPORATION,US,AT&T BROADBAND LLC,US,Acquisition 100%,Completed,72000000.0,37578.0,Comcast completes acquisition of AT&T Broadband.,Acquisition 100%,Completed,72000000.0,AT&T BROADBAND LLC,US,Cable television services,,,COMCAST CORPORATION,US,"Animated filmed entertainment distribution services, Animated filmed entertainment production services, Cable communications services, Cable television network operator, Television broadcasting services, Theme park operator",US270000798,384002.0,,,,,,AT&T CORPORATION,US,"Cable television services, Internet service provider, Telecommunications services",US134924710,44257.0,,,,,,,,
8.0,1941693033.0,BROADCOM INC.,US,VMWARE INC.,US,Acquisition 100%,Completed,69000000.0,45252.0,Broadcom acquires VMware,Acquisition 100%,Completed,69000000.0,VMWARE INC.,US,"Cloud infrastructure, business mobility and virtualisation Software-as-a-Service (SaaS) provider, Cloud-based disaster recovery services, Cloud-based virtual desktops and applications provider",US943292913,314294.0,BROADCOM INC.,US,"Broadband communication equipment manufacturer, Mobile and wireless communication product manufacturer, Semiconductor and infrastructure software developer, Semiconductor manufacturer",US352617337,409539558.0,,,,,,SILVER LAKE TECHNOLOGY MANAGEMENT LLC,US,"Hedge fund management services, Private equity investment services",US132896870L,49962667.0,,,,,,State Administration for Market Regulation,China,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MR MICHAEL S DELL,,Individual,,,,,,,,European Commission,European Union,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAREHOLDERS,,Shareholder,,,,,,,,Competition and Markets Authority,United Kingdom,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fair Trade Commission,South Korea,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Department of Justice,United States,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal Trade Commission,United States,
9.0,1941641140.0,MICROSOFT CORPORATION,US,ACTIVISION BLIZZARD INC.,US,Acquisition 100%,Completed,68700000.0,45212.0,Microsoft acquires Activision Blizzard,Acquisition 100%,Completed,68700000.0,ACTIVISION BLIZZARD INC.,US,"Mobile games application provider, Online computer game publisher, Video game developer",US954803544,590861.0,MICROSOFT CORPORATION,US,"Computer consultancy services, Computer games console manufacturer, Online web portal operator, Personal computer software developer",US911144442,507951.0,,,,,,,,,,,,,,,,Conselho Administrativo de Defesa Econômica (CADE),Brazil,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,European Commission,European Union,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Competition and Markets Authority,United Kingdom,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce Commission,New Zealand,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal Trade Commission,United States,
