unnamed__0,deal_num,acq_name,acq_country_code,tar_name,tar_country_code,deal_type,deal_status,deal_value,last_deal_status_date,deal_headline,deal_type__1,deal_status__1,deal_value__1,tar_name__1,tar_country_code__1,tar_busi_descr,tar_bvd_id_num,tar_orbis_id_num,acq_name__1,acq_country_code__1,acq_busi_descr,acq_bvd_id_num,acq_orbis_id_num,gr_acq_name,gr_acq_country_code,gr_acq_busi_descr,gr_acq_bvd_id_num,gr_acq_orbis_id_num,ven_name,ven_country_code,ven_busi_descr,ven_bvd_id_num,ven_orbis_id_num,gr_ven_name,gr_ven_country_code,gr_ven_busi_descr,gr_ven_bvd_id_num,gr_ven_orbis_id_num,regulatory_body_name,regulatory_body_country,type_of_deal_opportunity
1.0,1941461607.0,UNIMOT SA,PL,UNIMOT SYSTEM SP ZOO,PL,Acquisition 100%,Completed,1053.26908391921,43830.0,Unimot acquires Unimot System from Blue Line Engineering,Acquisition 100%,Completed,1053.26908391921,UNIMOT SYSTEM SP ZOO,PL,Natural gas distribution services,PL146062054,136681402.0,UNIMOT SA,PL,Liquid and gas fuels wholesaler,PL160384226,133998139.0,,,,,,BLUE LINE ENGINEERING SA,PL,Liquefied natural gas (LNG) distribution services,PL871501561,8372653.0,,,,,,,,
2.0,1907188305.0,UZABASE INC.,JP,"JAPAN VENTURE RESEARCH CO., LTD",JP,Acquisition 100%,Completed,1053.15066786664,42746.0,Uzabase acquires Japan Venture Research,Acquisition 100%,Completed,1053.15066786664,"JAPAN VENTURE RESEARCH CO., LTD",JP,"Venture firms consulting services, Venture firms research services",JP7011001068894,303324309.0,UZABASE INC.,JP,Online industry and corporate database platform operator,JP7010401075212,60317795.0,,,,,,MR AKIRA KITAMURA,JP,Individual,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CLOVER HOUSE, KK",JP,IT consulting services,,,,,,,,,,
3.0,1601496124.0,RENTRANS INTERNATIONAL SPEDITION SP ZOO,PL,RENTRANS EAST SP ZOO,PL,Acquisition increased from 30% to 50%,Completed,1053.05971923725,41257.0,Rentrans International Spedition acquired shares of Rentrans East,Acquisition increased from 30% to 50%,Completed,1053.05971923725,RENTRANS EAST SP ZOO,PL,"Freight forwarding services, Warehouse and storage services",PL030130541,80879139.0,RENTRANS INTERNATIONAL SPEDITION SP ZOO,PL,Rail freight forwarding services,PL272643170,83703311.0,,,,,,,,,,,,,,,,,,
4.0,1941491435.0,KONSULTANT IT SP ZOO,PL,ATENDE MEDICA SP ZOO,PL,Acquisition 69.91%,Completed Assumed,1052.47680611818,44947.0,Konsultant IT to acquire stake in Atende Medica from Atende,Acquisition 69.91%,Completed Assumed,1052.47680611818,ATENDE MEDICA SP ZOO,PL,Medical software developer,PL008502221,30716185.0,KONSULTANT IT SP ZOO,PL,Medical software developer,PL639850778,46145745.0,,,,,,ATENDE SA,PL,"Cloud computing services, IT systems integration services",PL276930771,10737355.0,,,,,,,,
5.0,1909552342.0,GARO MONTAGE AB,SE,EMEDIUS AB,SE,Acquisition 100%,Completed,1052.22351442654,42794.0,Garo Montage has bought Emedius,Acquisition 100%,Completed,1052.22351442654,EMEDIUS AB,SE,"Consumer unit manufacturer, Electrical contractor services, Electrical switchboards manufacturer",SE5566426473,10030799.0,GARO MONTAGE AB,SE,Electrical contractor services,SE5566589544,12130763.0,,,,,,,,,,,,,,,,,,
6.0,1603009780.0,"YIHUA REAL ESTATE CO., LTD",CN,"GUANGDONG YIHUA REAL ESTATE DEVELOPMENT CO., LTD",CN,Acquisition increased from 96% to 100%,Completed,1051.9165595419,39828.0,Yihua Real Estate buys out Guangdong Yihua Real Estate,Acquisition increased from 96% to 100%,Completed,1051.9165595419,"GUANGDONG YIHUA REAL ESTATE DEVELOPMENT CO., LTD",CN,Real estate developer,,,"YIHUA REAL ESTATE CO., LTD",CN,"Property management services, Real estate developer",CN30465PC,8116923.0,,,,,,MR WANG WEIYONG,CN,Individual,,,,,,,,China Securities Regulatory Commission,China,
7.0,1939003073.0,"GUANGZHOU LONKEY INDUSTRIAL CO., LTD",CN,"GUANGDONG KEYWA CHEMICAL TRADING CENTRE CO., LTD",CN,Acquisition increased from 35% to 59%,Completed Assumed,1051.7665434973,43357.0,Lonkey Industrial to acquire stake in Guangdong Keywa Chemical Trading Centre,Acquisition increased from 35% to 59%,Completed Assumed,1051.7665434973,"GUANGDONG KEYWA CHEMICAL TRADING CENTRE CO., LTD",CN,"Chemical products electronic trading platform operator, Chemical products online retailer",CN9380770675,273124569.0,"GUANGZHOU LONKEY INDUSTRIAL CO., LTD",CN,Detergent manufacturer,CN30338PC,76485665.0,,,,,,"FOSHAN NANHAI TIANHUI DAILY CHEMICAL CO., LTD",CN,Pesticides manufacturer,CN9361706575,168985286.0,,,,,,,,
8.0,1943325623.0,"NOVA ASIA CO., LTD",TH,"PICO SOLUTION (THAILAND) CO., LTD",TH,Acquisition increased from 84.99% to 99.98%,Completed,1051.58074910651,44929.0,Meta via Nova Asia acquires stake in Pico Solutions (Thailand),Acquisition increased from 84.99% to 99.98%,Completed,1051.58074910651,"PICO SOLUTION (THAILAND) CO., LTD",TH,"Business loans services, Consumer loan service",TH0105560147850,390983232.0,"NOVA ASIA CO., LTD",TH,Investment advisory services,TH0125558020198,307984346.0,,,,,,,,,,,,,,,,,,
9.0,1909478302.0,SIA SPA,IT,LM ENTERPRISE SRL,IT,Acquisition 51%,Completed,1051.17722002399,42382.0,SIA acquires majority stake in LM Enterprise,Acquisition 51%,Completed,1051.17722002399,LM ENTERPRISE SRL,IT,Innovative payment systems implementation consulting services,IT11304121004,137370154.0,SIA SPA,IT,"Credit and debit card financial processing, e-money, collection and payments services, Credit card issuing services, Online bills and tax payment platform services, Text messages services",IT10596540152,5297190.0,,,,,,,,,,,,,,,,,,
